symbol,open_time,open,high,low,close,volume
BTCUSD,2023-05-06 04:40:00,29412.5,29412.5,29403,29403,178455
BTCUSD,2023-05-06 04:41:00,29403,29403.5,29403,29403.5,6867
BTCUSD,2023-05-06 04:42:00,29403.5,29403.5,29403,29403.5,580
BTCUSD,2023-05-06 04:43:00,29403.5,29403.5,29391.5,29392,299312
BTCUSD,2023-05-06 04:44:00,29392,29392,29390,29390.5,102113
BTCUSD,2023-05-06 04:45:00,29390.5,29390.5,29386.5,29386.5,112747
BTCUSD,2023-05-06 04:46:00,29386.5,29395.5,29386.5,29395.5,178619
BTCUSD,2023-05-06 04:47:00,29395.5,29400,29395,29400,33594
BTCUSD,2023-05-06 04:48:00,29400,29408,29399.5,29407.5,17260
BTCUSD,2023-05-06 04:49:00,29407.5,29408,29407.5,29408,3400
BTCUSD,2023-05-06 04:50:00,29408,29408,29407.5,29408,154605
BTCUSD,2023-05-06 04:51:00,29408,29408,29387,29387.5,288664
BTCUSD,2023-05-06 04:52:00,29387.5,29387.5,29385,29385.5,152892
BTCUSD,2023-05-06 04:53:00,29385.5,29396.5,29385,29396,113953
BTCUSD,2023-05-06 04:54:00,29396,29401,29396,29401,77027
BTCUSD,2023-05-06 04:55:00,29401,29401,29395.5,29396,39547
BTCUSD,2023-05-06 04:56:00,29396,29396,29381,29381.5,233832
BTCUSD,2023-05-06 04:57:00,29381.5,29381.5,29377.5,29377.5,181713
BTCUSD,2023-05-06 04:58:00,29377.5,29385.5,29377.5,29385.5,106278
BTCUSD,2023-05-06 04:59:00,29385.5,29385.5,29377.5,29377.5,142304
BTCUSD,2023-05-06 05:00:00,29377.5,29378,29377.5,29377.5,8279
BTCUSD,2023-05-06 05:01:00,29377.5,29378,29377.5,29378,1994
BTCUSD,2023-05-06 05:02:00,29378,29378,29377.5,29377.5,9526
BTCUSD,2023-05-06 05:03:00,29377.5,29382.5,29377.5,29382,201246
BTCUSD,2023-05-06 05:04:00,29382,29385,29382,29384.5,42752
BTCUSD,2023-05-06 05:05:00,29384.5,29387.5,29384.5,29387,25276
BTCUSD,2023-05-06 05:06:00,29387,29387.5,29387,29387,64154
BTCUSD,2023-05-06 05:07:00,29387,29387.5,29387,29387,11679
BTCUSD,2023-05-06 05:08:00,29393.5,29398,29393,29397.5,64591
BTCUSD,2023-05-06 05:09:00,29397.5,29398,29397.5,29398,8320
BTCUSD,2023-05-06 05:10:00,29398,29398,29397.5,29398,13061
BTCUSD,2023-05-06 05:11:00,29398,29398,29397.5,29398,14515
BTCUSD,2023-05-06 05:12:00,29397.5,29398,29397.5,29398,8348
BTCUSD,2023-05-06 05:13:00,29398,29398,29397.5,29398,128711
BTCUSD,2023-05-06 05:14:00,29398,29398,29397.5,29397.5,61427
BTCUSD,2023-05-06 05:15:00,29397.5,29398,29397.5,29397.5,1912
BTCUSD,2023-05-06 05:16:00,29397.5,29398,29397.5,29397.5,9880
BTCUSD,2023-05-06 05:17:00,29397.5,29398,29397.5,29397.5,9144
BTCUSD,2023-05-06 05:18:00,29397.5,29398,29397.5,29397.5,1381
